Date,Home,Away,BTTS,Notes
2025-09-29,Motor Lublin,Radomiak Radom,Yes,
2025-09-29,Suduva,Żalgiris Wilno,Yes,
2025-09-29,Pogoń Grodzisk Mazowiecki,ŁKS Łódź,Yes,
2025-09-29,Pakhtakor,Termez Surkhon,Yes,
2025-09-29,San Lorenzo,Deportivo Santani,Yes,
2025-09-30,U.Cluj,CFR Cluj,Yes,
2025-09-30,Ludogorets II,Pirin Blagoevgrad,Yes,
